county,EU,rep,Forage,N_trt,bio_lbs,harvested_area_acres,Yield_lbs_ac,wet_yield_ton_ac,DM_percent,DM_total,CP,aNDFom,Lignin,NDFD30,Ash,Milk.Ton_.Milk.2013,Milk.Acre,RFV,RFQ
Dane,101,1,rye,80,9,0.000206612,43560,22,14.74,3.2428,19.29,55.32,2.2,76.92,9.83,3162,10253.7336,108.66,176.03
Dane,102,1,rye,160,12.5625,0.000275482,45602,23,13.71,3.1533,22.19,53.33,2.18,77.07,11.4,3080,9712.164,114.71,169.41
Dane,103,1,rye,0,12.125,0.000275482,44014,22,13.69,3.0118,20.98,54.46,2.04,77.97,11.28,3085,9291.403,111.74,171.59
Dane,104,1,rye,120,13.25,0.000275482,48098,24,13.53,3.2472,21.35,54.8,2.22,76.31,11.88,2990,9709.128,109.48,164.47
Dane,105,1,rye,40,12.75,0.000275482,46283,23,13.68,3.1464,18.62,54.95,2.32,78.87,11.12,3107,9775.8648,108.6,176.92
Dane,201,2,rye,120,10.3125,0.000275482,37434,19,14.87,2.8253,20.86,53.65,2.26,73.81,9.87,3145,8885.5685,114.22,171.18
Dane,202,2,rye,40,10.25,0.000275482,37208,19,14.57,2.7683,17.86,55.58,2.05,76.54,9.78,3149,8717.3767,107.98,177.02
Dane,203,2,rye,80,10,0.000275482,36300,18,13.82,2.4876,20.78,53.61,2.1,76.74,10.96,3115,7748.874,112.89,173.4
Dane,204,2,rye,0,10.4375,0.000275482,37888,19,15.36,2.9184,16.48,55.85,2.33,76.67,10.65,3092,9023.6928,107.82,171.69
Dane,205,2,rye,160,10.1875,0.000275482,36981,18,14.61,2.6298,22.76,49.9,1.7,76.49,10.76,3224,8478.4752,124.89,175.53
Dane,301,3,rye,0,11.875,0.000275482,43106,22,14.44,3.1768,19.17,54.94,2.2,73.43,10.67,3024,9606.6432,109.45,164.5
Dane,302,3,rye,80,11.0625,0.000275482,40157,20,13.9,2.78,21.11,51.96,1.8,76.5,11.35,3129,8698.62,118.24,173.84
Dane,303,3,rye,40,12.4375,0.000275482,45148,23,13.65,3.1395,20.27,51.03,1.86,77.35,11.4,3176,9971.052,120.31,175.09
Dane,304,3,rye,160,13,0.000275482,47190,24,14.59,3.5016,19.69,54.25,2.12,76.92,10.07,3174,11114.0784,112.15,177.47
Dane,305,3,rye,120,12.4375,0.000275482,45148,23,13.32,3.0636,21.12,51.93,1.76,78.16,11.52,3152,9656.4672,118.85,172.99
Dane,401,4,rye,160,10.9375,0.000275482,39703,20,13.82,2.764,22.64,52.27,1.92,76.47,11.26,3124,8634.736,116.4,172.34
Dane,402,4,rye,0,10.375,0.000275482,37661,19,14.17,2.6923,19.03,52.5,1.93,77.79,10.5,3217,8661.1291,115.71,181.23
Dane,403,4,rye,120,9.75,0.000275482,35393,18,14.36,2.5848,20.32,54.87,2.2,76.45,10.16,3130,8090.424,110.16,174.7
Dane,404,4,rye,40,11.6875,0.000275482,42426,21,16.48,3.4608,18.74,52.38,1.87,78.69,10.56,3239,11209.5312,116.67,181.42
Dane,405,4,rye,80,11.0625,0.000275482,40157,20,13.8,2.76,17.54,54.78,2.23,76.32,10.74,3102,8561.52,108.94,172.6
Door,101,1,rye,80,63.3,0.001836547,34466.85,17.2,15.09,2.59548,15.97,50.62,1.8,82.36,8.14,3572,9271.05456,123.31,208.41
Door,102,1,rye,160,55,0.001836547,29947.5,15,16.41,2.4615,19.18,47.11,1.71,82.17,7.75,3714,9142.011,135.83,212.31
Door,103,1,rye,0,31,0.001836547,16879.5,8.4,18.88,1.58592,10.11,53.08,2.17,80.18,5.27,3681,5837.77152,117.02,205.17
Door,104,1,rye,120,46,0.001836547,25047,12.5,15.94,1.9925,16.5,50.13,2.06,80.85,7.1,3640,7252.7,122.57,209.84
