County,Farm,Rep,EU,Depth,Timing,N_ppm
Outagamie 1,Sunny Daze,1,103,0-12,PP,15
Outagamie 1,Sunny Daze,2,204,0-12,PP,11.1
Outagamie 1,Sunny Daze,3,301,0-12,PP,10.5
Outagamie 1,Sunny Daze,4,402,0-12,PP,20.8
Outagamie 1,Sunny Daze,1,103,12-24,PP,8.2
Outagamie 1,Sunny Daze,2,204,12-24,PP,9.6
Outagamie 1,Sunny Daze,3,301,12-24,PP,5.8
Outagamie 1,Sunny Daze,4,402,12-24,PP,14.3
Door,PARS,1,103,0-12,PP,10.8
Door,PARS,2,204,0-12,PP,7.8
Door,PARS,3,301,0-12,PP,
Door,PARS,4,402,0-12,PP,
Outagamie,Oneida Nation Farm,1,103,0-12,PP,5.3
Outagamie,Oneida Nation Farm,2,204,0-12,PP,6.6
Outagamie,Oneida Nation Farm,3,301,0-12,PP,3.4
Outagamie,Oneida Nation Farm,4,402,0-12,PP,3.7
Outagamie,Oneida Nation Farm,1,103,12-24,PP,3
Outagamie,Oneida Nation Farm,2,204,12-24,PP,3.9
Outagamie,Oneida Nation Farm,3,301,12-24,PP,2
Outagamie,Oneida Nation Farm,4,402,12-24,PP,1.8
Marathon,MARS,1,103,0-12,PP,6
Marathon,MARS,2,204,0-12,PP,4.3
Marathon,MARS,3,301,0-12,PP,5.9
Marathon,MARS,4,402,0-12,PP,5.8
Marathon,MARS,1,103,12-24,PP,1.6
Marathon,MARS,2,204,12-24,PP,1.9
Marathon,MARS,3,301,12-24,PP,3.8
Marathon,MARS,4,402,12-24,PP,3.3
Oconto,Gillett,1,101,0-12,PP,33.3
Oconto,Gillett,2,204,0-12,PP,41.3
Oconto,Gillett,3,301,0-12,PP,45
Oconto,Gillett,4,402,0-12,PP,31.6
Oconto,Gillett,1,101,12-24,PP,15.4
Oconto,Gillett,2,204,12-24,PP,10.3
Oconto,Gillett,3,301,12-24,PP,16.3
Oconto,Gillett,4,402,12-24,PP,7.3
Dunn,Olson,1,101,0-12,PP,15.6
